"(461, 266)","(418, 246)","(444, 252)","(334, 266)","(454, 239)","(382, 249)","(386, 233)","(472, 257)","(425, 230)","(340, 239)"
"(459, 266)","(417, 248)","(442, 254)","(334, 267)","(452, 240)","(382, 251)","(385, 235)","(469, 256)","(424, 232)","(340, 241)"
"(459, 263)","(417, 244)","(443, 249)","(334, 268)","(452, 235)","(382, 249)","(385, 232)","(469, 254)","(423, 227)","(340, 241)"
"(463, 263)","(421, 243)","(446, 249)","(336, 266)","(456, 235)","(385, 247)","(388, 231)","(472, 254)","(427, 227)","(342, 240)"
"(461, 262)","(419, 242)","(445, 248)","(335, 265)","(454, 234)","(384, 247)","(387, 230)","(471, 253)","(426, 226)","(341, 238)"
"(461, 266)","(419, 246)","(445, 252)","(335, 264)","(454, 240)","(383, 248)","(386, 232)","(471, 257)","(425, 230)","(341, 238)"
"(461, 261)","(419, 240)","(444, 246)","(336, 262)","(454, 233)","(383, 243)","(387, 227)","(471, 252)","(425, 223)","(341, 235)"
"(463, 265)","(421, 246)","(447, 251)","(336, 268)","(457, 238)","(385, 250)","(389, 234)","(473, 255)","(428, 230)","(343, 242)"
"(460, 266)","(417, 246)","(443, 252)","(334, 265)","(453, 239)","(381, 248)","(384, 232)","(471, 257)","(423, 230)","(339, 238)"
"(463, 261)","(422, 244)","(447, 248)","(337, 271)","(456, 234)","(386, 250)","(389, 233)","(472, 252)","(428, 227)","(343, 244)"
"(462, 264)","(420, 244)","(445, 250)","(336, 264)","(455, 237)","(384, 246)","(387, 230)","(472, 255)","(426, 228)","(341, 237)"
