"(293, 492)","(293, 501)","(293, 510)","(293, 516)","(293, 516)","(293, 526)","(293, 537)","(293, 549)","(270, 488)","(273, 509)","(247, 496)","(233, 505)","(255, 511)","(241, 513)","(215, 518)","(219, 518)","(271, 500)","(251, 504)","(237, 509)","(217, 518)","(226, 522)","(222, 518)","(245, 516)","(259, 515)","(275, 515)","(270, 548)","(271, 536)","(272, 524)","(274, 516)","(245, 516)","(241, 520)","(237, 526)","(234, 533)","(234, 517)","(230, 519)","(223, 525)","(258, 515)","(255, 522)","(252, 531)","(250, 542)","(230, 516)","(225, 514)","(222, 512)","(234, 517)","(315, 488)","(313, 510)","(338, 497)","(353, 505)","(330, 511)","(344, 514)","(369, 519)","(365, 519)","(314, 500)","(334, 505)","(348, 510)","(367, 519)","(358, 522)","(362, 518)","(340, 516)","(327, 515)","(311, 515)","(316, 548)","(315, 535)","(313, 524)","(311, 515)","(340, 516)","(344, 520)","(348, 526)","(351, 532)","(351, 517)","(354, 519)","(362, 525)","(327, 515)","(330, 522)","(333, 531)","(336, 541)","(355, 516)","(359, 515)","(363, 513)","(350, 517)"
"(295, 498)","(295, 505)","(295, 511)","(295, 515)","(295, 516)","(295, 526)","(295, 537)","(295, 549)","(274, 494)","(276, 509)","(254, 498)","(240, 503)","(260, 509)","(247, 509)","(223, 510)","(227, 510)","(275, 502)","(257, 504)","(243, 506)","(225, 510)","(233, 515)","(229, 510)","(250, 511)","(262, 512)","(278, 514)","(273, 547)","(274, 535)","(276, 524)","(278, 514)","(250, 512)","(246, 516)","(242, 522)","(239, 528)","(240, 511)","(237, 513)","(230, 518)","(262, 513)","(259, 520)","(256, 529)","(254, 539)","(237, 510)","(233, 508)","(230, 507)","(240, 511)","(317, 494)","(314, 509)","(337, 498)","(350, 503)","(331, 509)","(343, 509)","(367, 510)","(363, 510)","(316, 503)","(334, 504)","(347, 506)","(365, 510)","(357, 515)","(360, 510)","(340, 512)","(328, 512)","(313, 514)","(318, 547)","(316, 535)","(315, 523)","(313, 514)","(340, 512)","(344, 516)","(348, 521)","(351, 528)","(349, 511)","(353, 513)","(360, 518)","(328, 513)","(331, 520)","(334, 528)","(337, 539)","(353, 510)","(357, 508)","(360, 506)","(349, 511)"
"(291, 495)","(291, 503)","(291, 510)","(292, 515)","(292, 516)","(292, 525)","(292, 537)","(293, 548)","(269, 491)","(272, 509)","(249, 496)","(236, 503)","(256, 509)","(244, 510)","(220, 513)","(224, 513)","(270, 501)","(253, 503)","(239, 507)","(222, 513)","(230, 518)","(227, 513)","(247, 513)","(259, 513)","(275, 514)","(271, 546)","(271, 535)","(273, 523)","(275, 514)","(247, 513)","(244, 517)","(240, 523)","(237, 530)","(238, 513)","(234, 515)","(227, 521)","(260, 513)","(256, 520)","(254, 529)","(252, 540)","(234, 512)","(230, 510)","(226, 508)","(238, 513)","(313, 491)","(311, 509)","(335, 496)","(349, 502)","(328, 509)","(342, 510)","(366, 512)","(362, 512)","(313, 501)","(332, 503)","(345, 506)","(364, 512)","(356, 516)","(359, 512)","(339, 512)","(326, 513)","(310, 514)","(316, 546)","(314, 534)","(312, 523)","(310, 514)","(339, 512)","(343, 516)","(347, 521)","(350, 528)","(348, 512)","(352, 514)","(359, 519)","(326, 513)","(329, 519)","(332, 528)","(335, 539)","(352, 510)","(356, 509)","(359, 507)","(348, 512)"
"(294, 496)","(294, 503)","(294, 511)","(294, 517)","(294, 517)","(294, 525)","(294, 535)","(294, 545)","(274, 492)","(277, 511)","(255, 499)","(242, 507)","(262, 512)","(250, 514)","(227, 519)","(231, 519)","(275, 502)","(258, 506)","(246, 511)","(229, 519)","(237, 522)","(233, 518)","(252, 516)","(264, 516)","(278, 516)","(274, 544)","(275, 533)","(276, 524)","(278, 516)","(252, 516)","(249, 520)","(246, 525)","(243, 531)","(243, 517)","(240, 519)","(234, 525)","(264, 516)","(261, 522)","(259, 529)","(257, 538)","(240, 516)","(236, 515)","(233, 513)","(244, 517)","(314, 492)","(312, 511)","(334, 500)","(347, 508)","(327, 512)","(339, 515)","(361, 520)","(357, 520)","(313, 502)","(330, 507)","(343, 512)","(359, 520)","(352, 522)","(355, 520)","(336, 517)","(324, 516)","(310, 516)","(315, 544)","(314, 533)","(312, 524)","(310, 516)","(336, 517)","(340, 520)","(343, 525)","(346, 531)","(345, 518)","(348, 520)","(355, 525)","(324, 516)","(328, 522)","(330, 529)","(332, 538)","(349, 517)","(352, 516)","(355, 515)","(345, 518)"
"(294, 498)","(294, 506)","(294, 514)","(294, 519)","(294, 520)","(294, 528)","(295, 537)","(295, 547)","(272, 494)","(275, 513)","(251, 501)","(237, 509)","(259, 514)","(246, 516)","(222, 521)","(226, 521)","(273, 504)","(255, 508)","(242, 513)","(224, 521)","(232, 524)","(228, 521)","(249, 519)","(262, 518)","(277, 519)","(273, 545)","(274, 536)","(275, 527)","(277, 519)","(249, 519)","(246, 522)","(242, 527)","(239, 533)","(240, 520)","(236, 522)","(229, 527)","(262, 519)","(259, 524)","(256, 531)","(255, 540)","(236, 518)","(231, 517)","(228, 515)","(240, 520)","(315, 494)","(313, 513)","(337, 501)","(350, 509)","(329, 514)","(342, 516)","(365, 522)","(361, 521)","(315, 504)","(333, 508)","(346, 513)","(363, 521)","(355, 524)","(359, 521)","(339, 519)","(326, 518)","(311, 519)","(316, 545)","(315, 535)","(314, 526)","(311, 519)","(339, 519)","(342, 522)","(346, 527)","(349, 533)","(348, 520)","(352, 522)","(359, 527)","(326, 518)","(330, 524)","(333, 531)","(335, 540)","(352, 519)","(356, 517)","(360, 515)","(348, 520)"
"(292, 498)","(292, 504)","(292, 510)","(293, 514)","(293, 515)","(293, 524)","(293, 534)","(293, 546)","(271, 493)","(274, 509)","(252, 500)","(238, 507)","(259, 510)","(246, 513)","(221, 519)","(225, 518)","(272, 502)","(255, 506)","(242, 510)","(223, 518)","(232, 521)","(228, 518)","(249, 514)","(261, 513)","(276, 513)","(272, 544)","(273, 533)","(274, 522)","(276, 514)","(248, 514)","(245, 518)","(241, 524)","(238, 531)","(239, 516)","(235, 518)","(228, 524)","(261, 513)","(258, 520)","(255, 528)","(253, 539)","(235, 515)","(231, 514)","(228, 513)","(239, 516)","(313, 494)","(311, 509)","(335, 501)","(349, 508)","(328, 511)","(342, 513)","(367, 519)","(362, 518)","(313, 503)","(331, 506)","(345, 511)","(365, 519)","(356, 521)","(360, 518)","(339, 515)","(326, 513)","(310, 513)","(315, 544)","(314, 533)","(312, 522)","(310, 514)","(339, 514)","(342, 518)","(346, 524)","(350, 530)","(348, 516)","(352, 518)","(359, 524)","(325, 513)","(329, 520)","(332, 528)","(335, 538)","(352, 516)","(356, 515)","(359, 514)","(349, 516)"
"(293, 492)","(293, 499)","(293, 507)","(294, 513)","(293, 515)","(294, 524)","(294, 536)","(294, 548)","(273, 488)","(276, 507)","(253, 497)","(240, 507)","(261, 510)","(249, 513)","(226, 521)","(230, 520)","(274, 498)","(257, 504)","(244, 510)","(228, 521)","(236, 523)","(232, 520)","(252, 516)","(264, 513)","(278, 513)","(274, 546)","(274, 534)","(276, 523)","(278, 514)","(252, 516)","(249, 520)","(245, 526)","(242, 533)","(243, 518)","(240, 520)","(233, 526)","(264, 514)","(260, 521)","(258, 530)","(256, 541)","(239, 517)","(235, 516)","(232, 514)","(243, 518)","(313, 488)","(311, 508)","(334, 498)","(347, 507)","(327, 510)","(339, 514)","(362, 522)","(358, 521)","(312, 499)","(330, 505)","(343, 511)","(360, 521)","(352, 523)","(356, 521)","(336, 516)","(324, 514)","(310, 513)","(315, 546)","(313, 534)","(312, 523)","(310, 514)","(336, 516)","(339, 520)","(343, 526)","(347, 533)","(345, 518)","(348, 520)","(355, 527)","(324, 514)","(327, 521)","(330, 530)","(333, 541)","(349, 518)","(353, 517)","(356, 515)","(345, 518)"
"(293, 497)","(293, 505)","(293, 513)","(293, 518)","(293, 519)","(293, 527)","(294, 537)","(294, 548)","(272, 493)","(275, 512)","(252, 500)","(239, 508)","(260, 513)","(247, 516)","(224, 521)","(228, 520)","(273, 503)","(256, 507)","(243, 512)","(226, 521)","(234, 523)","(230, 520)","(250, 518)","(263, 517)","(277, 517)","(273, 546)","(274, 536)","(275, 526)","(277, 518)","(250, 518)","(247, 522)","(243, 527)","(240, 533)","(241, 519)","(237, 521)","(230, 527)","(262, 517)","(259, 524)","(256, 531)","(255, 541)","(237, 518)","(233, 517)","(230, 515)","(241, 519)","(314, 493)","(312, 512)","(335, 500)","(348, 508)","(328, 513)","(341, 516)","(364, 521)","(360, 520)","(313, 503)","(331, 507)","(345, 512)","(362, 521)","(354, 523)","(357, 520)","(338, 518)","(325, 517)","(310, 517)","(315, 546)","(314, 535)","(312, 525)","(310, 518)","(337, 518)","(341, 521)","(345, 526)","(348, 532)","(347, 519)","(350, 521)","(357, 526)","(325, 517)","(328, 523)","(331, 531)","(333, 540)","(351, 518)","(354, 516)","(358, 515)","(347, 519)"
"(293, 493)","(293, 501)","(293, 510)","(293, 516)","(293, 516)","(293, 526)","(293, 537)","(294, 549)","(270, 488)","(272, 509)","(248, 494)","(233, 500)","(255, 509)","(241, 509)","(215, 507)","(220, 508)","(271, 500)","(251, 502)","(237, 505)","(217, 508)","(227, 514)","(222, 508)","(244, 512)","(258, 513)","(274, 515)","(271, 546)","(271, 535)","(273, 524)","(274, 515)","(244, 511)","(241, 515)","(237, 520)","(234, 526)","(234, 510)","(230, 512)","(224, 516)","(258, 513)","(255, 520)","(252, 528)","(251, 538)","(230, 508)","(226, 506)","(223, 504)","(234, 510)","(315, 488)","(313, 509)","(338, 495)","(352, 500)","(331, 509)","(345, 509)","(370, 508)","(366, 509)","(315, 500)","(334, 502)","(349, 505)","(368, 508)","(359, 514)","(363, 509)","(341, 512)","(328, 514)","(312, 515)","(317, 547)","(316, 535)","(314, 524)","(312, 515)","(342, 512)","(346, 516)","(349, 521)","(352, 527)","(352, 511)","(356, 512)","(363, 517)","(328, 513)","(332, 520)","(335, 528)","(337, 538)","(356, 509)","(359, 507)","(363, 505)","(352, 511)"
"(293, 497)","(293, 505)","(293, 513)","(293, 519)","(293, 519)","(294, 528)","(294, 539)","(294, 550)","(272, 493)","(274, 513)","(250, 501)","(235, 509)","(257, 514)","(243, 517)","(216, 522)","(220, 521)","(272, 504)","(253, 508)","(238, 513)","(218, 522)","(227, 525)","(223, 521)","(246, 519)","(260, 518)","(276, 518)","(272, 549)","(272, 537)","(274, 527)","(276, 518)","(246, 519)","(242, 523)","(238, 529)","(235, 536)","(235, 520)","(231, 522)","(224, 529)","(260, 519)","(256, 525)","(253, 533)","(252, 544)","(231, 519)","(227, 518)","(224, 516)","(235, 520)","(315, 493)","(313, 513)","(337, 502)","(351, 510)","(330, 515)","(343, 517)","(369, 522)","(365, 522)","(314, 504)","(333, 509)","(347, 514)","(367, 522)","(358, 525)","(362, 522)","(340, 520)","(327, 518)","(311, 518)","(316, 549)","(315, 537)","(314, 527)","(312, 518)","(340, 520)","(344, 523)","(348, 529)","(351, 536)","(351, 521)","(354, 523)","(361, 529)","(327, 518)","(331, 525)","(334, 533)","(336, 544)","(354, 520)","(358, 518)","(362, 517)","(350, 521)"
