"(125, 267)","(167, 246)","(142, 253)","(250, 266)","(130, 240)","(202, 249)","(198, 233)","(113, 258)","(159, 230)","(243, 239)"
"(125, 268)","(167, 248)","(141, 254)","(251, 266)","(130, 241)","(203, 250)","(199, 234)","(113, 258)","(160, 232)","(244, 239)"
"(126, 266)","(169, 245)","(144, 252)","(251, 268)","(132, 238)","(204, 249)","(201, 232)","(115, 257)","(162, 229)","(245, 240)"
"(123, 264)","(166, 244)","(140, 250)","(249, 267)","(129, 236)","(201, 248)","(198, 231)","(112, 254)","(158, 227)","(242, 240)"
"(126, 265)","(169, 245)","(143, 251)","(250, 267)","(132, 237)","(204, 249)","(200, 232)","(115, 256)","(162, 228)","(244, 240)"
"(125, 268)","(167, 247)","(142, 254)","(249, 264)","(131, 241)","(202, 248)","(198, 232)","(114, 258)","(159, 231)","(243, 237)"
"(124, 264)","(167, 242)","(141, 249)","(250, 264)","(130, 236)","(202, 246)","(199, 229)","(113, 255)","(160, 226)","(243, 236)"
"(123, 265)","(165, 246)","(140, 251)","(249, 269)","(128, 237)","(201, 250)","(197, 234)","(111, 255)","(158, 229)","(243, 242)"
"(126, 267)","(169, 246)","(143, 253)","(252, 265)","(132, 239)","(205, 248)","(201, 232)","(114, 257)","(162, 230)","(246, 238)"
"(122, 262)","(165, 245)","(139, 249)","(249, 272)","(127, 234)","(201, 252)","(197, 234)","(110, 252)","(157, 227)","(242, 245)"
"(125, 265)","(167, 244)","(142, 251)","(250, 264)","(130, 237)","(203, 246)","(199, 229)","(113, 255)","(160, 227)","(244, 236)"
