"(388, 198)","(353, 181)","(373, 186)","(282, 198)","(381, 176)","(323, 184)","(325, 170)","(396, 191)","(357, 168)","(287, 177)"
"(387, 191)","(352, 176)","(373, 179)","(284, 201)","(381, 165)","(323, 182)","(326, 167)","(395, 183)","(357, 160)","(289, 177)"
"(387, 199)","(352, 178)","(373, 185)","(283, 193)","(381, 174)","(323, 179)","(325, 165)","(395, 191)","(358, 165)","(287, 169)"
"(388, 192)","(353, 176)","(375, 180)","(285, 201)","(382, 166)","(324, 182)","(327, 167)","(396, 183)","(358, 161)","(290, 177)"
"(387, 200)","(351, 181)","(373, 187)","(283, 196)","(381, 177)","(322, 182)","(324, 169)","(395, 192)","(356, 168)","(287, 174)"
"(388, 197)","(353, 178)","(374, 185)","(283, 195)","(382, 172)","(324, 180)","(326, 165)","(396, 189)","(358, 164)","(287, 171)"
"(391, 201)","(356, 185)","(377, 189)","(284, 202)","(386, 178)","(326, 188)","(329, 174)","(400, 193)","(362, 172)","(289, 180)"
"(387, 197)","(353, 178)","(374, 184)","(285, 197)","(382, 172)","(324, 182)","(327, 167)","(395, 189)","(358, 164)","(289, 175)"
"(392, 199)","(355, 187)","(377, 190)","(285, 207)","(386, 178)","(326, 191)","(329, 179)","(400, 192)","(362, 174)","(290, 187)"
"(391, 200)","(356, 185)","(378, 189)","(284, 204)","(386, 178)","(326, 188)","(329, 176)","(400, 192)","(362, 172)","(290, 183)"
"(391, 199)","(356, 184)","(377, 188)","(284, 204)","(385, 177)","(325, 189)","(328, 175)","(399, 191)","(361, 170)","(289, 183)"
"(387, 194)","(353, 179)","(374, 182)","(282, 203)","(382, 170)","(323, 185)","(325, 170)","(395, 186)","(358, 164)","(286, 180)"
