"(112, 198)","(148, 182)","(127, 186)","(213, 200)","(119, 175)","(176, 185)","(174, 171)","(104, 190)","(143, 168)","(210, 178)"
"(110, 192)","(144, 176)","(123, 180)","(211, 200)","(115, 167)","(172, 182)","(170, 167)","(101, 183)","(139, 161)","(206, 177)"
"(113, 199)","(147, 178)","(127, 186)","(212, 192)","(119, 176)","(175, 178)","(172, 165)","(105, 192)","(142, 165)","(208, 169)"
"(112, 191)","(146, 175)","(126, 179)","(212, 199)","(118, 166)","(175, 181)","(172, 167)","(103, 183)","(142, 160)","(208, 177)"
"(114, 200)","(149, 182)","(128, 188)","(214, 197)","(121, 177)","(176, 183)","(175, 170)","(106, 193)","(144, 169)","(210, 175)"
"(111, 198)","(145, 178)","(124, 185)","(211, 193)","(117, 174)","(173, 179)","(171, 165)","(102, 189)","(139, 164)","(207, 171)"
"(108, 200)","(142, 185)","(122, 189)","(211, 202)","(113, 178)","(172, 188)","(169, 174)","(100, 192)","(138, 172)","(206, 180)"
"(112, 197)","(146, 178)","(126, 184)","(212, 198)","(119, 172)","(174, 182)","(172, 168)","(104, 189)","(142, 165)","(208, 176)"
"(108, 199)","(143, 187)","(122, 190)","(210, 206)","(114, 178)","(172, 191)","(169, 178)","(99, 191)","(137, 173)","(205, 186)"
"(109, 200)","(143, 185)","(122, 189)","(210, 204)","(114, 178)","(172, 189)","(170, 176)","(100, 192)","(138, 172)","(206, 182)"
"(108, 198)","(142, 184)","(121, 187)","(210, 205)","(113, 175)","(171, 189)","(169, 175)","(99, 190)","(137, 170)","(206, 183)"
"(108, 194)","(143, 179)","(122, 182)","(209, 201)","(114, 169)","(171, 184)","(169, 170)","(99, 184)","(137, 164)","(205, 179)"
